student_id,study_hours_per_day,social_media_hours,netflix_hours,attendance_percentage,sleep_hours,exercise_frequency,mental_health_rating,exam_score
143,6.0,5.1,1.8,99.1,6.2,Daily,3,87.5
144,3.3,5.0,3.7,83.3,6.4,Daily,6,67.0
145,7.7,5.6,3.3,99.8,8.1,Rarely,5,87.9
146,1.7,2.2,0.6,96.5,4.5,Rarely,4,72.5
147,8.9,1.9,2.9,68.9,6.1,Often,2,82.6
148,8.5,4.5,1.3,62.2,7.1,Rarely,7,75.9
149,2.9,2.6,4.0,70.2,5.1,Often,5,97.3
150,8.3,0.5,2.1,81.1,7.1,Rarely,4,66.1
151,8.1,1.7,5.0,66.9,8.6,Rarely,8,69.3
152,6.7,2.5,0.5,66.7,9.0,Often,9,59.9
153,4.4,1.8,3.9,78.5,4.2,Rarely,9,64.0
154,3.4,2.0,3.4,61.3,5.2,Daily,3,82.1
155,3.1,1.8,3.8,64.9,5.6,Daily,3,91.0
156,3.9,0.2,1.5,76.6,6.0,Never,5,83.3
157,9.1,3.8,2.5,62.5,5.2,Never,5,74.9
158,1.7,3.6,4.0,75.9,5.0,Daily,10,66.1
159,8.5,3.9,1.2,79.0,8.8,Daily,2,84.0
160,4.1,1.2,1.1,78.1,8.6,Never,1,65.5
161,5.7,1.8,2.8,94.8,4.2,Often,8,61.5
162,8.2,3.7,2.6,81.2,5.7,Rarely,3,71.9
163,9.0,3.6,1.4,78.7,6.0,Rarely,1,54.7
164,4.1,3.0,1.5,76.4,5.2,Often,1,61.2
165,5.2,2.1,1.4,92.7,7.1,Never,2,93.9
166,4.7,5.5,3.9,95.8,7.2,Daily,6,59.3
167,1.1,2.0,3.3,94.1,8.3,Rarely,6,63.1
168,3.7,2.7,4.2,86.9,7.7,Often,3,75.7
169,5.1,4.1,4.9,65.5,6.7,Rarely,4,76.2
170,4.7,3.3,2.4,71.1,7.3,Rarely,2,72.7
171,7.5,2.1,0.3,61.8,5.4,Often,2,55.0
172,4.5,2.6,0.2,97.2,7.0,Never,7,83.5
173,5.4,4.8,1.5,86.4,6.4,Rarely,1,70.6
174,4.9,1.7,4.7,89.9,4.7,Rarely,7,87.2
175,7.7,0.9,2.6,72.5,5.2,Never,1,68.6
176,8.8,1.9,1.4,93.8,5.5,Often,6,84.8
177,5.8,5.1,2.0,70.4,8.6,Rarely,3,88.0
178,8.1,0.5,3.0,60.1,5.2,Rarely,8,70.3
179,3.7,6.0,3.3,75.1,5.4,Rarely,6,83.8
180,5.9,3.2,0.8,82.8,5.8,Rarely,2,61.7
181,4.1,5.9,4.9,79.1,7.3,Never,8,77.6
182,4.7,5.6,2.7,94.5,4.6,Rarely,5,87.2
183,7.6,2.7,0.7,64.2,8.8,Rarely,8,80.2
184,8.9,1.2,4.5,82.2,8.3,Often,8,99.1
185,2.1,1.0,0.4,80.5,6.9,Often,6,80.7
186,6.7,1.4,4.5,71.3,7.4,Rarely,2,71.3
187,6.2,4.3,5.0,92.9,4.1,Never,8,100.0
188,2.1,1.6,3.5,90.1,5.7,Rarely,6,91.3
189,2.9,2.0,3.9,89.3,8.0,Never,6,59.0
190,3.8,2.7,1.7,95.0,4.4,Never,8,67.2
191,2.5,5.5,4.7,88.9,5.4,Rarely,1,64.6
192,3.2,1.1,2.6,69.3,6.9,Rarely,2,81.5
193,3.4,0.0,3.7,88.2,5.3,Rarely,9,80.7
194,4.0,0.4,4.6,72.3,8.7,Never,8,80.6
195,7.7,5.4,4.9,69.7,4.7,Never,7,58.7
196,6.1,3.9,4.2,62.9,8.0,Never,7,68.6
197,9.9,1.6,1.5,89.8,6.5,Never,5,73.5
198,4.7,1.1,4.8,88.4,7.8,Rarely,2,56.8
199,7.8,1.8,3.1,69.4,5.6,Rarely,6,66.3
200,8.8,0.7,4.7,90.0,6.6,Never,10,88.6
201,7.1,5.6,3.4,96.7,8.3,Rarely,3,59.5
202,4.7,4.7,1.5,64.3,6.3,Rarely,4,89.6
203,7.8,2.8,1.9,69.3,5.8,Never,10,85.9
204,2.8,5.2,2.8,90.0,6.7,Never,2,72.1
205,3.9,1.5,4.0,71.0,7.6,Rarely,2,68.5
206,5.9,4.3,1.6,85.0,6.2,Often,8,83.3
207,6.2,5.1,2.9,63.2,8.7,Rarely,8,67.1
208,1.2,2.1,1.7,78.1,5.5,Never,10,67.6
209,9.5,4.5,4.1,89.6,6.4,Often,6,74.8
210,7.3,1.8,2.3,87.5,7.8,Rarely,5,53.7
211,5.5,1.8,0.4,92.6,7.4,Rarely,8,60.5
212,9.4,0.6,0.8,95.1,8.3,Often,4,71.8
213,5.0,2.6,0.3,90.9,9.0,Often,4,79.8
214,9.8,4.4,2.5,86.9,6.1,Rarely,5,67.0
215,5.6,5.6,0.5,61.3,4.6,Rarely,1,73.0
216,2.0,3.6,0.6,81.4,4.2,Rarely,1,58.9
217,7.9,5.2,4.7,61.5,7.6,Never,2,84.3
218,7.1,4.9,4.4,92.3,8.4,Rarely,8,77.2
219,8.0,1.0,2.3,72.8,5.1,Never,7,78.1
220,9.6,2.9,4.9,82.5,4.8,Rarely,10,79.9
221,8.0,0.7,0.0,71.2,4.3,Daily,9,75.8
222,6.5,4.1,3.1,91.3,8.1,Daily,5,70.2
223,8.7,5.7,3.1,95.5,5.6,Rarely,2,86.3
224,7.1,0.8,2.3,75.9,6.0,Often,7,76.6
225,4.7,4.4,2.0,94.5,6.5,Rarely,8,73.3
226,9.0,3.8,2.3,70.7,8.2,Often,7,74.9
227,3.0,3.5,2.1,81.4,7.3,Rarely,7,74.7
228,7.4,2.3,3.7,94.4,7.1,Never,5,73.2
229,8.9,2.1,0.7,73.0,4.9,Never,2,79.5
230,7.6,0.3,1.0,98.2,6.6,Rarely,6,65.6
231,7.3,1.3,0.9,64.9,7.6,Rarely,4,66.4
232,7.8,0.1,1.3,60.7,8.9,Often,10,80.6
233,5.2,3.5,2.6,96.2,5.0,Often,2,73.5
234,8.9,0.6,0.6,62.7,4.0,Rarely,9,84.7
235,2.8,5.2,4.3,99.7,4.4,Rarely,7,79.1
236,2.1,3.1,1.5,98.1,5.9,Never,6,69.5
237,3.6,4.2,0.8,65.5,8.1,Often,5,80.8
238,5.8,2.5,3.4,81.5,4.0,Daily,3,87.0
239,5.6,3.4,0.2,67.4,6.3,Daily,10,79.5
240,8.4,5.7,3.1,77.1,5.6,Often,10,81.7
241,4.6,0.5,3.5,62.5,4.3,Never,4,73.3
242,5.4,1.5,1.1,69.0,6.3,Never,3,84.9
243,1.1,4.7,0.2,74.5,5.3,Rarely,8,69.2
244,4.7,0.6,1.8,77.5,5.8,Daily,3,78.4
245,6.8,0.5,0.5,99.1,7.5,Never,7,100.0
246,1.1,2.2,0.6,92.3,6.6,Never,7,80.4
247,3.5,0.6,1.3,89.5,4.6,Often,7,70.8
248,2.9,3.5,1.5,81.5,8.8,Never,7,70.8
249,1.4,1.4,2.6,93.6,7.2,Rarely,2,74.3
250,5.3,5.4,3.4,73.6,7.8,Often,10,83.5
251,2.6,4.7,3.0,88.4,4.4,Rarely,3,76.5
252,7.7,4.2,0.7,99.8,4.2,Never,10,68.5
253,8.6,3.7,0.9,72.6,4.1,Often,9,68.5
254,5.9,5.2,4.4,87.0,4.9,Often,3,76.5
255,9.8,1.3,2.8,93.8,6.1,Daily,2,75.4
256,5.1,5.2,4.3,96.6,8.7,Rarely,9,79.5
257,5.6,4.7,1.9,88.7,6.3,Never,10,84.2
258,9.9,4.5,3.1,71.3,5.5,Often,9,100.0
259,3.1,3.4,2.6,73.1,6.8,Rarely,4,60.4
260,9.5,1.5,1.6,60.8,4.6,Rarely,9,81.9
261,1.4,2.5,2.3,90.4,7.0,Often,3,76.0
262,5.0,4.8,2.5,61.7,6.8,Rarely,7,56.6
263,1.6,0.2,1.0,94.6,8.0,Rarely,7,87.5
264,7.6,4.7,1.6,64.7,8.9,Never,8,79.2
265,6.5,1.4,4.0,66.9,5.3,Rarely,10,83.0
266,7.4,0.9,4.6,79.1,6.5,Rarely,4,58.0
267,4.4,0.7,1.8,89.5,8.5,Rarely,3,72.8
268,4.3,0.2,1.5,65.6,7.9,Often,3,64.2
269,1.4,3.1,1.0,77.6,6.4,Daily,5,96.6
270,4.1,1.3,3.4,79.3,8.7,Never,1,86.4
271,9.4,5.9,1.6,68.5,4.3,Never,10,68.2
272,4.4,3.4,4.9,64.6,8.7,Never,3,59.6
273,8.5,0.8,1.6,93.5,4.3,Never,6,76.9
274,8.6,4.1,2.0,80.1,6.7,Often,3,85.9
275,4.4,5.4,3.0,60.6,8.5,Often,5,57.6
276,6.7,4.5,4.0,92.1,5.3,Often,9,65.7
277,1.9,0.5,2.3,99.2,6.4,Rarely,2,63.9
278,1.9,5.4,2.1,84.2,5.6,Rarely,2,83.7
279,1.4,4.8,5.0,80.1,8.8,Rarely,6,71.3
280,6.2,0.9,0.1,95.1,8.1,Never,6,71.7
281,4.8,0.3,4.5,98.1,7.5,Often,8,76.7
282,5.9,3.3,0.7,90.2,6.9,Daily,2,66.2
283,5.7,0.9,3.9,77.8,8.1,Rarely,9,60.6
284,4.2,5.0,3.1,83.7,6.0,Often,2,88.7
285,7.1,2.2,1.7,88.0,6.2,Rarely,1,89.6
286,7.8,5.5,4.4,67.8,7.7,Never,10,76.8
287,1.1,3.4,0.1,77.9,5.8,Rarely,2,77.5
288,2.9,1.1,1.1,93.2,4.3,Rarely,7,87.6
289,7.4,0.8,2.8,86.2,4.4,Never,8,76.6
290,4.5,3.5,1.8,76.4,4.6,Often,5,70.8
291,7.0,4.6,3.1,86.5,8.3,Often,6,75.4
292,4.1,4.7,0.1,64.7,6.4,Rarely,1,88.9
293,4.5,1.7,0.6,76.1,7.6,Rarely,6,75.5
294,2.4,1.2,0.6,91.7,6.0,Often,8,68.3
295,3.3,0.1,0.9,68.8,5.3,Often,3,76.5
296,6.4,4.1,2.3,67.4,5.7,Often,1,81.6
297,4.9,0.5,3.8,98.0,8.0,Rarely,4,80.4
298,8.0,2.5,4.5,68.4,7.1,Daily,1,80.5
299,8.7,3.6,4.2,70.4,8.7,Never,8,66.7
300,5.9,5.6,1.0,98.8,7.4,Often,5,82.7
301,7.8,1.9,2.2,89.4,6.9,Never,1,75.3
302,3.8,1.5,1.0,88.0,7.1,Often,8,67.9
303,4.7,3.9,1.3,94.1,8.7,Rarely,9,82.6
304,7.4,3.7,2.5,64.6,7.9,Rarely,10,70.5
305,4.5,2.0,0.3,88.2,4.1,Rarely,2,59.3
306,6.3,5.6,1.1,80.1,6.7,Never,9,65.0
307,2.7,5.1,4.7,93.2,7.4,Often,8,73.2
308,6.4,1.3,2.3,80.3,7.7,Often,7,80.8
309,8.8,1.4,2.2,84.8,5.1,Daily,3,66.4
310,8.8,3.1,0.1,79.1,8.3,Never,2,72.6
311,7.5,4.6,1.2,79.1,8.8,Often,7,62.8
312,7.7,0.3,4.3,90.7,5.2,Often,5,84.8
313,6.0,4.2,0.8,85.1,8.4,Rarely,6,92.2
314,6.3,3.9,2.1,85.3,4.5,Never,4,91.1
315,2.2,1.4,0.1,78.0,4.3,Often,2,84.6
316,5.0,4.1,2.4,81.2,4.6,Daily,9,83.6
317,5.1,5.6,0.1,89.8,4.3,Often,3,54.3
318,9.6,0.3,4.1,93.0,8.2,Rarely,7,76.8
319,4.9,1.9,4.1,87.9,4.3,Rarely,8,70.0
320,5.9,2.6,3.9,97.0,5.4,Never,2,83.8
321,5.8,5.4,1.4,92.8,4.5,Often,6,49.6
322,6.7,5.8,4.2,82.5,5.5,Often,8,76.9
323,7.7,2.7,2.7,86.9,4.5,Never,7,72.9
324,3.0,4.5,1.9,97.1,7.3,Often,3,86.2
325,5.8,3.2,3.1,84.8,4.7,Rarely,1,90.5
326,8.4,3.2,0.1,93.0,8.3,Daily,6,65.7
327,5.2,1.7,0.7,87.6,8.1,Rarely,8,66.2
328,3.5,1.3,3.7,82.1,4.1,Never,6,77.3
329,6.9,1.7,1.2,69.7,8.5,Rarely,5,92.3
330,8.4,3.3,3.0,77.0,4.1,Rarely,8,75.6
331,1.6,0.2,1.9,98.7,5.2,Never,2,62.2
332,8.0,5.4,4.3,86.3,4.2,Rarely,1,68.9
333,8.4,0.9,4.8,82.6,5.7,Rarely,1,77.0
334,5.2,1.3,4.4,97.3,6.6,Often,4,77.4
335,9.8,3.1,1.4,83.5,8.0,Never,6,68.0
336,8.1,4.3,1.0,81.0,5.7,Rarely,9,68.7
337,8.0,0.6,2.4,90.4,7.5,Never,1,65.2
338,7.7,1.9,0.0,88.5,4.9,Often,1,86.4
339,2.4,5.8,0.1,67.7,7.8,Never,5,66.7
340,3.0,1.6,2.8,78.9,5.2,Daily,10,70.4
341,5.2,1.9,2.6,78.9,4.7,Often,5,70.1
342,3.4,5.0,5.0,75.1,4.9,Rarely,5,58.9
343,4.7,0.3,1.0,80.7,4.9,Rarely,10,66.4
344,9.0,2.8,1.3,76.5,6.6,Never,6,87.3
345,8.4,2.3,0.6,68.0,8.2,Rarely,8,62.9
346,6.7,1.9,4.6,76.5,4.4,Often,3,65.4
347,8.7,1.7,3.9,62.9,7.5,Daily,9,61.7
348,8.1,0.5,4.1,83.0,7.3,Never,1,74.1
349,4.9,1.9,4.5,94.1,8.4,Rarely,4,93.9
350,2.8,0.3,2.6,89.0,5.2,Often,9,73.7
351,5.6,4.7,2.3,74.4,6.3,Often,8,75.7
352,7.6,2.4,1.7,63.5,8.6,Never,10,67.0
353,4.9,2.7,2.9,68.1,7.3,Rarely,9,74.4
354,7.0,5.4,2.3,81.8,5.9,Rarely,1,87.3
355,1.8,3.9,2.3,68.3,4.7,Often,9,76.4
356,7.7,0.0,4.7,81.8,5.3,Rarely,3,96.3
357,8.3,5.7,4.9,69.3,6.9,Rarely,10,87.6
358,7.4,1.4,4.0,94.0,7.6,Daily,9,74.1
359,9.7,0.6,3.8,75.9,4.6,Often,1,73.9
360,8.4,4.6,3.4,69.8,7.0,Often,1,91.3
361,9.1,3.0,0.8,92.5,6.8,Rarely,9,76.4
362,9.4,2.6,0.3,73.7,6.6,Never,6,89.1
363,8.2,1.5,3.5,64.5,7.5,Daily,4,95.0
364,7.1,3.3,3.6,82.8,8.2,Rarely,7,73.0
365,1.1,1.6,0.2,83.3,5.6,Never,5,78.5
366,5.2,5.4,4.6,88.6,8.4,Rarely,10,84.8
367,6.1,1.3,0.5,69.6,4.8,Never,7,82.7
368,3.7,5.3,1.4,77.8,4.9,Rarely,8,82.6
369,3.9,3.4,3.4,71.3,5.3,Often,8,61.7
370,9.7,5.0,0.8,63.2,4.6,Daily,1,66.5
371,9.0,4.3,0.3,95.1,5.2,Daily,8,70.0
372,8.6,4.2,1.7,89.2,4.5,Never,6,87.1
373,4.7,1.9,3.8,72.1,8.1,Rarely,4,62.6
374,1.1,1.4,2.1,84.0,4.7,Never,8,90.2
375,1.7,1.3,3.3,68.1,7.7,Often,3,82.8
376,3.8,5.1,2.9,95.6,4.2,Rarely,4,86.5
377,1.1,4.9,0.1,64.6,8.7,Often,6,65.7
378,1.2,2.6,4.9,60.2,7.6,Often,7,75.7
379,9.2,0.8,0.2,80.1,4.0,Rarely,4,78.0
380,7.4,2.3,4.8,83.3,7.8,Rarely,4,77.5
381,3.8,3.7,2.7,83.2,6.6,Daily,7,78.0
382,2.2,2.7,4.8,62.2,7.9,Daily,6,72.2
383,5.6,4.7,0.6,72.6,6.6,Rarely,8,76.4
384,1.0,6.0,2.5,80.0,7.2,Rarely,1,85.3
385,9.4,1.1,0.8,68.7,7.9,Daily,10,63.3
386,4.7,2.8,0.3,94.9,6.0,Never,7,90.5
387,4.6,2.6,3.1,63.5,4.0,Rarely,7,84.8
388,4.5,1.8,1.0,79.5,8.2,Never,7,65.3
389,1.6,1.2,2.9,87.7,5.9,Rarely,7,78.8
390,6.7,0.4,0.6,70.5,6.5,Never,10,84.0
391,7.6,5.3,1.7,85.0,4.0,Rarely,10,62.6
392,7.1,2.5,3.9,93.2,6.5,Rarely,8,75.4
393,2.2,3.0,2.2,67.6,8.9,Rarely,9,74.2
394,6.2,5.5,3.1,96.7,5.4,Daily,9,68.5
395,6.1,4.7,3.2,82.1,6.0,Often,2,75.9
396,8.8,0.8,4.2,72.0,7.4,Often,7,69.0
397,4.4,3.4,1.6,77.2,8.1,Often,7,88.7
398,4.3,2.7,3.4,72.5,6.1,Never,4,68.7
399,6.6,4.8,4.8,89.0,5.5,Rarely,9,82.9
400,6.7,4.3,3.7,91.9,8.7,Daily,8,58.4
401,5.2,4.1,2.4,93.3,7.4,Rarely,1,73.4
402,5.0,2.0,3.2,99.4,4.6,Never,2,75.1
403,5.4,4.8,3.7,91.7,4.3,Often,2,73.1
404,8.7,0.3,3.1,84.1,6.4,Rarely,8,71.0
405,5.2,1.0,0.1,73.6,5.1,Rarely,1,68.3
406,9.5,2.0,1.0,81.8,5.3,Daily,4,82.5
407,5.5,0.5,4.1,61.6,8.4,Often,10,85.0
408,9.5,1.4,1.4,89.8,4.4,Rarely,5,74.2
409,8.5,5.0,3.7,77.8,7.6,Daily,9,64.0
410,4.3,5.7,1.9,60.8,5.4,Often,7,92.9
411,8.8,1.8,2.6,62.5,7.8,Often,8,66.2
412,2.0,1.6,0.3,75.5,7.6,Never,9,60.4
413,9.3,1.7,0.9,83.3,4.0,Never,7,54.9
414,6.7,1.7,4.8,78.6,6.5,Often,5,76.0
415,1.5,0.2,4.5,84.8,4.7,Often,5,72.8
416,6.8,5.6,3.3,79.2,8.3,Often,10,85.3
417,9.8,1.3,2.3,86.5,8.4,Never,6,81.1
418,1.6,2.5,3.4,68.8,6.1,Never,5,77.9
419,6.0,0.1,3.1,64.5,6.2,Often,9,72.3
420,7.7,5.1,2.8,83.9,5.5,Never,3,86.1
421,8.3,4.4,0.3,79.4,7.6,Rarely,3,93.7
422,4.7,5.7,3.2,61.1,5.8,Never,7,85.1
423,2.8,4.7,3.8,75.2,5.3,Never,7,70.4
424,1.4,1.9,5.0,64.2,6.2,Often,6,82.8
425,6.2,1.5,0.1,81.3,4.5,Often,3,71.0
426,5.1,4.2,3.7,75.8,7.7,Rarely,7,63.9
427,9.5,2.2,2.9,84.5,4.1,Rarely,5,66.0
428,1.5,3.4,2.2,92.2,7.2,Often,7,71.4
429,7.2,0.0,0.6,72.0,4.9,Rarely,2,76.0
430,1.2,0.4,2.0,98.5,5.2,Rarely,6,95.6
431,2.5,3.2,1.8,81.4,7.2,Daily,8,66.2
432,5.1,3.4,1.5,84.7,9.0,Never,1,88.2
433,5.1,4.5,3.7,87.2,7.9,Daily,4,71.8
434,7.2,0.8,3.5,86.7,5.1,Never,1,54.8
435,9.2,3.1,2.9,80.4,4.9,Rarely,1,69.9
